Casos-2020-07-19,Obitos-2020-07-19,Casos-2020-08-02,Obitos-2020-08-02
279,4.0,530,4.0
35,2.0,46,2.0
444,5.0,713,7.0
345,4.0,724,7.0
31,,60,1.0
186,,298,3.0
228,,445,
327,6.0,559,9.0
781,7.0,2034,22.0
188,1.0,224,1.0
109,,191,
613,,1074,5.0
323,5.0,447,5.0
71,1.0,89,1.0
19,,23,
419,1.0,510,1.0
250,3.0,370,4.0
528,1.0,816,2.0
94,1.0,142,1.0
33188,182.0,49556,257.0
86,,93,
291,2.0,405,2.0
1346,3.0,1711,6.0
51,,74,
53,,77,
3732,34.0,6080,62.0
758,5.0,1119,6.0
465,4.0,960,7.0
353,1.0,528,1.0
102,5.0,234,6.0
418,2.0,461,2.0
11353,58.0,14184,67.0
170,1.0,254,1.0
1170,5.0,1295,8.0
15,,23,
207,1.0,243,1.0
773,4.0,860,4.0
342,3.0,725,4.0
142,,250,
770,4.0,900,4.0
216,5.0,403,6.0
383,1.0,481,1.0
21,,36,
33,1.0,60,1.0
512,4.0,618,4.0
204,,241,
259,,313,
572,3.0,1077,6.0
90,4.0,108,4.0
1310,3.0,1909,5.0
273,2.0,796,4.0
635,3.0,802,4.0
820,14.0,1134,21.0
147,,514,
135,2.0,216,3.0
1032,6.0,1311,9.0
199,1.0,224,1.0
144,1.0,219,1.0
1097,3.0,1272,3.0
19,1.0,31,1.0
45,1.0,60,2.0
1186,18.0,1740,21.0
319,3.0,394,3.0
299,3.0,375,3.0
2253,4.0,2661,4.0
36,2.0,63,2.0
275,1.0,469,5.0
288,,599,
238,1.0,270,1.0
1084,7.0,1636,8.0
37,1.0,58,1.0
59,1.0,120,1.0
968,12.0,1978,21.0
623,5.0,810,6.0
203,,320,
27,,39,
382,3.0,676,11.0
3739,26.0,5706,37.0
353,3.0,386,3.0
