,Casos-2020-08-16,Obitos-2020-08-16,Casos-2020-08-30,Obitos-2020-08-30
AGUA CLARA,49,3.0,69,3.0
ALCINOPOLIS,5,3.0,8,3.0
AMAMBAI,108,12.0,154,12.0
ANASTACIO,271,9.0,384,15.0
ANAURILANDIA,30,1.0,30,1.0
ANGELICA,49,3.0,57,3.0
ANTONIO JOAO,49,,49,
APARECIDA DO TABOADO,249,12.0,541,17.0
AQUIDAUANA,1099,37.0,1471,43.0
ARAL MOREIRA,33,1.0,39,1.0
BANDEIRANTES,57,1.0,59,1.0
BATAGUASSU,566,5.0,603,7.0
BATAIPORA,82,5.0,93,5.0
BELA VISTA,16,1.0,18,2.0
BODOQUENA,6,,8,1.0
BONITO,204,1.0,366,4.0
BRASILANDIA,70,4.0,78,5.0
CAARAPO,246,4.0,305,5.0
CAMAPUA,25,1.0,31,1.0
CAMPO GRANDE,14385,389.0,19474,515.0
CARACOL,12,,14,
CASSILANDIA,124,3.0,283,6.0
CHAPADAO DO SUL,372,7.0,475,12.0
CORGUINHO,19,,24,
CORONEL SAPUCAIA,11,,27,1.0
CORUMBA,1706,79.0,2402,103.0
COSTA RICA,234,6.0,288,8.0
COXIM,226,10.0,408,10.0
DEODAPOLIS,91,1.0,117,2.0
DOIS IRMAOS DO BURITI,150,11.0,234,13.0
DOURADINA,123,3.0,130,3.0
DOURADOS,4316,90.0,4948,101.0
ELDORADO,100,1.0,111,2.0
FATIMA DO SUL,292,12.0,349,14.0
FIGUEIRAO,5,,11,
GLORIA DE DOURADOS,56,1.0,64,1.0
GUIA LOPES DA LAGUNA,270,8.0,292,8.0
IGUATEMI,269,6.0,281,7.0
INOCENCIA,31,,37,1.0
ITAPORA,224,5.0,271,6.0
ITAQUIRAI,218,6.0,243,8.0
IVINHEMA,113,2.0,172,3.0
JARAGUARI,20,1.0,20,1.0
JARDIM,97,9.0,129,10.0
JATEI,26,,26,1.0
JUTI,165,,169,
LADARIO,335,13.0,519,16.0
LAGUNA CARAPA,30,4.0,30,4.0
MARACAJU,232,7.0,293,8.0
MIRANDA,412,10.0,629,12.0
MUNDO NOVO,107,4.0,130,5.0
NAVIRAI,513,25.0,622,33.0
NIOAQUE,133,3.0,190,4.0
NOVA ALVORADA DO SUL,174,5.0,334,7.0
NOVA ANDRADINA,182,12.0,232,15.0
NOVO HORIZONTE DO SUL,15,1.0,19,1.0
PARAISO DAS AGUAS,51,2.0,51,3.0
PARANAIBA,245,8.0,368,9.0
PARANHOS,7,1.0,18,1.0
PEDRO GOMES,3,2.0,13,2.0
PONTA PORA,367,29.0,539,32.0
PORTO MURTINHO,64,4.0,95,5.0
RIBAS DO RIO PARDO,52,3.0,86,4.0
RIO BRILHANTE,702,7.0,821,8.0
RIO NEGRO,22,3.0,24,3.0
RIO VERDE DE MATO GROSSO,98,5.0,137,9.0
ROCHEDO,62,,65,
SANTA RITA DO PARDO,44,1.0,44,1.0
SAO GABRIEL DO OESTE,618,10.0,716,12.0
SELVIRIA,6,1.0,7,1.0
SETE QUEDAS,12,2.0,15,2.0
SIDROLANDIA,1084,26.0,1602,30.0
SONORA,171,6.0,186,7.0
TACURU,95,1.0,156,2.0
TAQUARUSSU,5,,6,
TERENOS,200,14.0,237,14.0
TRES LAGOAS,877,41.0,1174,45.0
VICENTINA,90,5.0,100,6.0
